N,M,DCNT,VTH,VGS,VDD,ID,POWER
20,0,1.56608464,-0.27457009,0,-0.1,7.16E-11,-7.16E-12
20,0,1.56608464,-0.27457009,0,-0.2,7.31E-11,-1.46E-11
20,0,1.56608464,-0.27457009,0,-0.3,7.32E-11,-2.19E-11
20,0,1.56608464,-0.27457009,0,-0.4,7.32E-11,-2.93E-11
20,0,1.56608464,-0.27457009,0,-0.5,7.32E-11,-3.66E-11
20,0,1.56608464,-0.27457009,0,-0.6,7.32E-11,-4.39E-11
20,0,1.56608464,-0.27457009,0,-0.7,7.32E-11,-5.12E-11
20,0,1.56608464,-0.27457009,0,-0.8,7.32E-11,-5.85E-11
20,0,1.56608464,-0.27457009,0,-0.9,7.32E-11,-6.58E-11
20,0,1.56608464,-0.27457009,0,-1,7.32E-11,-7.32E-11
20,0,1.56608464,-0.27457009,-0.1,-0.1,2.64E-09,-2.64E-10
20,0,1.56608464,-0.27457009,-0.1,-0.2,2.70E-09,-5.39E-10
20,0,1.56608464,-0.27457009,-0.1,-0.3,2.70E-09,-8.10E-10
20,0,1.56608464,-0.27457009,-0.1,-0.4,2.70E-09,-1.08E-09
20,0,1.56608464,-0.27457009,-0.1,-0.5,2.70E-09,-1.35E-09
20,0,1.56608464,-0.27457009,-0.1,-0.6,2.70E-09,-1.62E-09
20,0,1.56608464,-0.27457009,-0.1,-0.7,2.70E-09,-1.89E-09
20,0,1.56608464,-0.27457009,-0.1,-0.8,2.70E-09,-2.16E-09
20,0,1.56608464,-0.27457009,-0.1,-0.9,2.70E-09,-2.43E-09
20,0,1.56608464,-0.27457009,-0.1,-1,2.70E-09,-2.70E-09
20,0,1.56608464,-0.27457009,-0.2,-0.1,8.77E-08,-8.77E-09
20,0,1.56608464,-0.27457009,-0.2,-0.2,8.98E-08,-1.80E-08
20,0,1.56608464,-0.27457009,-0.2,-0.3,8.98E-08,-2.69E-08
20,0,1.56608464,-0.27457009,-0.2,-0.4,8.98E-08,-3.59E-08
20,0,1.56608464,-0.27457009,-0.2,-0.5,8.98E-08,-4.49E-08
20,0,1.56608464,-0.27457009,-0.2,-0.6,8.98E-08,-5.39E-08
20,0,1.56608464,-0.27457009,-0.2,-0.7,8.98E-08,-6.29E-08
20,0,1.56608464,-0.27457009,-0.2,-0.8,8.98E-08,-7.18E-08
20,0,1.56608464,-0.27457009,-0.2,-0.9,8.98E-08,-8.08E-08
20,0,1.56608464,-0.27457009,-0.2,-1,8.98E-08,-8.98E-08
20,0,1.56608464,-0.27457009,-0.3,-0.1,1.08E-06,-1.08E-07
20,0,1.56608464,-0.27457009,-0.3,-0.2,1.12E-06,-2.24E-07
20,0,1.56608464,-0.27457009,-0.3,-0.3,1.12E-06,-3.36E-07
20,0,1.56608464,-0.27457009,-0.3,-0.4,1.12E-06,-4.48E-07
20,0,1.56608464,-0.27457009,-0.3,-0.5,1.12E-06,-5.60E-07
20,0,1.56608464,-0.27457009,-0.3,-0.6,1.12E-06,-6.73E-07
20,0,1.56608464,-0.27457009,-0.3,-0.7,1.12E-06,-7.85E-07
20,0,1.56608464,-0.27457009,-0.3,-0.8,1.12E-06,-8.97E-07
20,0,1.56608464,-0.27457009,-0.3,-0.9,1.12E-06,-1.01E-06
20,0,1.56608464,-0.27457009,-0.3,-1,1.12E-06,-1.12E-06
20,0,1.56608464,-0.27457009,-0.4,-0.1,3.88E-06,-3.88E-07
20,0,1.56608464,-0.27457009,-0.4,-0.2,4.18E-06,-8.36E-07
20,0,1.56608464,-0.27457009,-0.4,-0.3,4.18E-06,-1.26E-06
20,0,1.56608464,-0.27457009,-0.4,-0.4,4.18E-06,-1.67E-06
20,0,1.56608464,-0.27457009,-0.4,-0.5,4.18E-06,-2.09E-06
20,0,1.56608464,-0.27457009,-0.4,-0.6,4.18E-06,-2.51E-06
20,0,1.56608464,-0.27457009,-0.4,-0.7,4.18E-06,-2.93E-06
20,0,1.56608464,-0.27457009,-0.4,-0.8,4.18E-06,-3.35E-06
20,0,1.56608464,-0.27457009,-0.4,-0.9,4.18E-06,-3.77E-06
20,0,1.56608464,-0.27457009,-0.4,-1,4.18E-06,-4.18E-06
20,0,1.56608464,-0.27457009,-0.5,-0.1,7.87E-06,-7.87E-07
20,0,1.56608464,-0.27457009,-0.5,-0.2,9.34E-06,-1.87E-06
20,0,1.56608464,-0.27457009,-0.5,-0.3,9.38E-06,-2.81E-06
20,0,1.56608464,-0.27457009,-0.5,-0.4,9.38E-06,-3.75E-06
20,0,1.56608464,-0.27457009,-0.5,-0.5,9.38E-06,-4.69E-06
20,0,1.56608464,-0.27457009,-0.5,-0.6,9.38E-06,-5.63E-06
20,0,1.56608464,-0.27457009,-0.5,-0.7,9.38E-06,-6.57E-06
20,0,1.56608464,-0.27457009,-0.5,-0.8,9.38E-06,-7.51E-06
20,0,1.56608464,-0.27457009,-0.5,-0.9,9.38E-06,-8.44E-06
20,0,1.56608464,-0.27457009,-0.5,-1,9.38E-06,-9.38E-06
20,0,1.56608464,-0.27457009,-0.6,-0.1,1.16E-05,-1.16E-06
20,0,1.56608464,-0.27457009,-0.6,-0.2,1.65E-05,-3.29E-06
20,0,1.56608464,-0.27457009,-0.6,-0.3,1.68E-05,-5.04E-06
20,0,1.56608464,-0.27457009,-0.6,-0.4,1.68E-05,-6.72E-06
20,0,1.56608464,-0.27457009,-0.6,-0.5,1.68E-05,-8.40E-06
20,0,1.56608464,-0.27457009,-0.6,-0.6,1.68E-05,-1.01E-05
20,0,1.56608464,-0.27457009,-0.6,-0.7,1.68E-05,-1.18E-05
20,0,1.56608464,-0.27457009,-0.6,-0.8,1.68E-05,-1.34E-05
20,0,1.56608464,-0.27457009,-0.6,-0.9,1.68E-05,-1.51E-05
20,0,1.56608464,-0.27457009,-0.6,-1,1.68E-05,-1.68E-05
20,0,1.56608464,-0.27457009,-0.7,-0.1,1.39E-05,-1.39E-06
20,0,1.56608464,-0.27457009,-0.7,-0.2,2.25E-05,-4.49E-06
20,0,1.56608464,-0.27457009,-0.7,-0.3,2.41E-05,-7.24E-06
20,0,1.56608464,-0.27457009,-0.7,-0.4,2.42E-05,-9.68E-06
20,0,1.56608464,-0.27457009,-0.7,-0.5,2.42E-05,-1.21E-05
20,0,1.56608464,-0.27457009,-0.7,-0.6,2.42E-05,-1.45E-05
20,0,1.56608464,-0.27457009,-0.7,-0.7,2.42E-05,-1.69E-05
20,0,1.56608464,-0.27457009,-0.7,-0.8,2.42E-05,-1.94E-05
20,0,1.56608464,-0.27457009,-0.7,-0.9,2.42E-05,-2.18E-05
20,0,1.56608464,-0.27457009,-0.7,-1,2.42E-05,-2.42E-05
20,0,1.56608464,-0.27457009,-0.8,-0.1,1.46E-05,-1.46E-06
20,0,1.56608464,-0.27457009,-0.8,-0.2,2.64E-05,-5.27E-06
20,0,1.56608464,-0.27457009,-0.8,-0.3,3.13E-05,-9.40E-06
20,0,1.56608464,-0.27457009,-0.8,-0.4,3.17E-05,-1.27E-05
20,0,1.56608464,-0.27457009,-0.8,-0.5,3.17E-05,-1.58E-05
20,0,1.56608464,-0.27457009,-0.8,-0.6,3.17E-05,-1.90E-05
20,0,1.56608464,-0.27457009,-0.8,-0.7,3.17E-05,-2.22E-05
20,0,1.56608464,-0.27457009,-0.8,-0.8,3.17E-05,-2.53E-05
20,0,1.56608464,-0.27457009,-0.8,-0.9,3.17E-05,-2.85E-05
20,0,1.56608464,-0.27457009,-0.8,-1,3.17E-05,-3.17E-05
20,0,1.56608464,-0.27457009,-0.9,-0.1,1.51E-05,-1.51E-06
20,0,1.56608464,-0.27457009,-0.9,-0.2,2.88E-05,-5.76E-06
20,0,1.56608464,-0.27457009,-0.9,-0.3,3.64E-05,-1.09E-05
20,0,1.56608464,-0.27457009,-0.9,-0.4,3.74E-05,-1.50E-05
20,0,1.56608464,-0.27457009,-0.9,-0.5,3.74E-05,-1.87E-05
20,0,1.56608464,-0.27457009,-0.9,-0.6,3.74E-05,-2.25E-05
20,0,1.56608464,-0.27457009,-0.9,-0.7,3.74E-05,-2.62E-05
20,0,1.56608464,-0.27457009,-0.9,-0.8,3.74E-05,-3.00E-05
20,0,1.56608464,-0.27457009,-0.9,-0.9,3.74E-05,-3.37E-05
20,0,1.56608464,-0.27457009,-0.9,-1,3.74E-05,-3.74E-05
20,0,1.56608464,-0.27457009,-1,-0.1,1.58E-05,-1.58E-06
20,0,1.56608464,-0.27457009,-1,-0.2,3.01E-05,-6.01E-06
20,0,1.56608464,-0.27457009,-1,-0.3,4.01E-05,-1.20E-05
20,0,1.56608464,-0.27457009,-1,-0.4,4.29E-05,-1.71E-05
20,0,1.56608464,-0.27457009,-1,-0.5,4.30E-05,-2.15E-05
20,0,1.56608464,-0.27457009,-1,-0.6,4.30E-05,-2.58E-05
20,0,1.56608464,-0.27457009,-1,-0.7,4.30E-05,-3.01E-05
20,0,1.56608464,-0.27457009,-1,-0.8,4.30E-05,-3.44E-05
20,0,1.56608464,-0.27457009,-1,-0.9,4.30E-05,-3.87E-05
20,0,1.56608464,-0.27457009,-1,-1,4.30E-05,-4.30E-05
19,0,1.487780408,-0.289021147,0,-0.1,4.17E-11,-4.17E-12
19,0,1.487780408,-0.289021147,0,-0.2,4.26E-11,-8.51E-12
19,0,1.487780408,-0.289021147,0,-0.3,4.26E-11,-1.28E-11
19,0,1.487780408,-0.289021147,0,-0.4,4.26E-11,-1.70E-11
19,0,1.487780408,-0.289021147,0,-0.5,4.26E-11,-2.13E-11
19,0,1.487780408,-0.289021147,0,-0.6,4.26E-11,-2.55E-11
19,0,1.487780408,-0.289021147,0,-0.7,4.26E-11,-2.98E-11
19,0,1.487780408,-0.289021147,0,-0.8,4.26E-11,-3.41E-11
19,0,1.487780408,-0.289021147,0,-0.9,4.26E-11,-3.83E-11
19,0,1.487780408,-0.289021147,0,-1,4.26E-11,-4.26E-11
19,0,1.487780408,-0.289021147,-0.1,-0.1,1.53E-09,-1.53E-10
19,0,1.487780408,-0.289021147,-0.1,-0.2,1.56E-09,-3.13E-10
19,0,1.487780408,-0.289021147,-0.1,-0.3,1.57E-09,-4.70E-10
19,0,1.487780408,-0.289021147,-0.1,-0.4,1.57E-09,-6.26E-10
19,0,1.487780408,-0.289021147,-0.1,-0.5,1.57E-09,-7.83E-10
19,0,1.487780408,-0.289021147,-0.1,-0.6,1.57E-09,-9.39E-10
19,0,1.487780408,-0.289021147,-0.1,-0.7,1.57E-09,-1.10E-09
19,0,1.487780408,-0.289021147,-0.1,-0.8,1.57E-09,-1.25E-09
19,0,1.487780408,-0.289021147,-0.1,-0.9,1.57E-09,-1.41E-09
19,0,1.487780408,-0.289021147,-0.1,-1,1.57E-09,-1.57E-09
19,0,1.487780408,-0.289021147,-0.2,-0.1,5.28E-08,-5.28E-09
19,0,1.487780408,-0.289021147,-0.2,-0.2,5.40E-08,-1.08E-08
19,0,1.487780408,-0.289021147,-0.2,-0.3,5.40E-08,-1.62E-08
19,0,1.487780408,-0.289021147,-0.2,-0.4,5.40E-08,-2.16E-08
19,0,1.487780408,-0.289021147,-0.2,-0.5,5.40E-08,-2.70E-08
19,0,1.487780408,-0.289021147,-0.2,-0.6,5.40E-08,-3.24E-08
19,0,1.487780408,-0.289021147,-0.2,-0.7,5.40E-08,-3.78E-08
19,0,1.487780408,-0.289021147,-0.2,-0.8,5.40E-08,-4.32E-08
19,0,1.487780408,-0.289021147,-0.2,-0.9,5.40E-08,-4.86E-08
19,0,1.487780408,-0.289021147,-0.2,-1,5.40E-08,-5.40E-08
19,0,1.487780408,-0.289021147,-0.3,-0.1,8.05E-07,-8.05E-08
19,0,1.487780408,-0.289021147,-0.3,-0.2,8.32E-07,-1.66E-07
19,0,1.487780408,-0.289021147,-0.3,-0.3,8.33E-07,-2.50E-07
19,0,1.487780408,-0.289021147,-0.3,-0.4,8.33E-07,-3.33E-07
19,0,1.487780408,-0.289021147,-0.3,-0.5,8.33E-07,-4.16E-07
19,0,1.487780408,-0.289021147,-0.3,-0.6,8.33E-07,-5.00E-07
19,0,1.487780408,-0.289021147,-0.3,-0.7,8.33E-07,-5.83E-07
19,0,1.487780408,-0.289021147,-0.3,-0.8,8.33E-07,-6.66E-07
19,0,1.487780408,-0.289021147,-0.3,-0.9,8.33E-07,-7.49E-07
19,0,1.487780408,-0.289021147,-0.3,-1,8.33E-07,-8.33E-07
19,0,1.487780408,-0.289021147,-0.4,-0.1,3.25E-06,-3.25E-07
19,0,1.487780408,-0.289021147,-0.4,-0.2,3.47E-06,-6.94E-07
19,0,1.487780408,-0.289021147,-0.4,-0.3,3.47E-06,-1.04E-06
19,0,1.487780408,-0.289021147,-0.4,-0.4,3.47E-06,-1.39E-06
19,0,1.487780408,-0.289021147,-0.4,-0.5,3.47E-06,-1.74E-06
19,0,1.487780408,-0.289021147,-0.4,-0.6,3.47E-06,-2.08E-06
19,0,1.487780408,-0.289021147,-0.4,-0.7,3.47E-06,-2.43E-06
19,0,1.487780408,-0.289021147,-0.4,-0.8,3.47E-06,-2.78E-06
19,0,1.487780408,-0.289021147,-0.4,-0.9,3.47E-06,-3.13E-06
19,0,1.487780408,-0.289021147,-0.4,-1,3.47E-06,-3.47E-06
19,0,1.487780408,-0.289021147,-0.5,-0.1,7.04E-06,-7.04E-07
19,0,1.487780408,-0.289021147,-0.5,-0.2,8.13E-06,-1.63E-06
19,0,1.487780408,-0.289021147,-0.5,-0.3,8.16E-06,-2.45E-06
19,0,1.487780408,-0.289021147,-0.5,-0.4,8.16E-06,-3.26E-06
19,0,1.487780408,-0.289021147,-0.5,-0.5,8.16E-06,-4.08E-06
19,0,1.487780408,-0.289021147,-0.5,-0.6,8.16E-06,-4.90E-06
19,0,1.487780408,-0.289021147,-0.5,-0.7,8.16E-06,-5.71E-06
19,0,1.487780408,-0.289021147,-0.5,-0.8,8.16E-06,-6.53E-06
19,0,1.487780408,-0.289021147,-0.5,-0.9,8.16E-06,-7.34E-06
19,0,1.487780408,-0.289021147,-0.5,-1,8.16E-06,-8.16E-06
19,0,1.487780408,-0.289021147,-0.6,-0.1,1.09E-05,-1.09E-06
19,0,1.487780408,-0.289021147,-0.6,-0.2,1.48E-05,-2.97E-06
19,0,1.487780408,-0.289021147,-0.6,-0.3,1.51E-05,-4.52E-06
19,0,1.487780408,-0.289021147,-0.6,-0.4,1.51E-05,-6.03E-06
19,0,1.487780408,-0.289021147,-0.6,-0.5,1.51E-05,-7.53E-06
19,0,1.487780408,-0.289021147,-0.6,-0.6,1.51E-05,-9.04E-06
19,0,1.487780408,-0.289021147,-0.6,-0.7,1.51E-05,-1.05E-05
19,0,1.487780408,-0.289021147,-0.6,-0.8,1.51E-05,-1.21E-05
19,0,1.487780408,-0.289021147,-0.6,-0.9,1.51E-05,-1.36E-05
19,0,1.487780408,-0.289021147,-0.6,-1,1.51E-05,-1.51E-05
19,0,1.487780408,-0.289021147,-0.7,-0.1,1.35E-05,-1.35E-06
19,0,1.487780408,-0.289021147,-0.7,-0.2,2.12E-05,-4.24E-06
19,0,1.487780408,-0.289021147,-0.7,-0.3,2.24E-05,-6.72E-06
19,0,1.487780408,-0.289021147,-0.7,-0.4,2.24E-05,-8.98E-06
19,0,1.487780408,-0.289021147,-0.7,-0.5,2.24E-05,-1.12E-05
19,0,1.487780408,-0.289021147,-0.7,-0.6,2.24E-05,-1.35E-05
19,0,1.487780408,-0.289021147,-0.7,-0.7,2.24E-05,-1.57E-05
19,0,1.487780408,-0.289021147,-0.7,-0.8,2.24E-05,-1.80E-05
19,0,1.487780408,-0.289021147,-0.7,-0.9,2.24E-05,-2.02E-05
19,0,1.487780408,-0.289021147,-0.7,-1,2.24E-05,-2.24E-05
19,0,1.487780408,-0.289021147,-0.8,-0.1,1.45E-05,-1.45E-06
19,0,1.487780408,-0.289021147,-0.8,-0.2,2.56E-05,-5.11E-06
19,0,1.487780408,-0.289021147,-0.8,-0.3,2.98E-05,-8.94E-06
19,0,1.487780408,-0.289021147,-0.8,-0.4,3.00E-05,-1.20E-05
19,0,1.487780408,-0.289021147,-0.8,-0.5,3.00E-05,-1.50E-05
19,0,1.487780408,-0.289021147,-0.8,-0.6,3.00E-05,-1.80E-05
19,0,1.487780408,-0.289021147,-0.8,-0.7,3.00E-05,-2.10E-05
19,0,1.487780408,-0.289021147,-0.8,-0.8,3.00E-05,-2.40E-05
19,0,1.487780408,-0.289021147,-0.8,-0.9,3.00E-05,-2.70E-05
19,0,1.487780408,-0.289021147,-0.8,-1,3.00E-05,-3.00E-05
19,0,1.487780408,-0.289021147,-0.9,-0.1,1.50E-05,-1.50E-06
19,0,1.487780408,-0.289021147,-0.9,-0.2,2.83E-05,-5.66E-06
19,0,1.487780408,-0.289021147,-0.9,-0.3,3.52E-05,-1.06E-05
19,0,1.487780408,-0.289021147,-0.9,-0.4,3.62E-05,-1.45E-05
19,0,1.487780408,-0.289021147,-0.9,-0.5,3.61E-05,-1.81E-05
19,0,1.487780408,-0.289021147,-0.9,-0.6,3.61E-05,-2.17E-05
19,0,1.487780408,-0.289021147,-0.9,-0.7,3.61E-05,-2.53E-05
19,0,1.487780408,-0.289021147,-0.9,-0.8,3.61E-05,-2.89E-05
19,0,1.487780408,-0.289021147,-0.9,-0.9,3.61E-05,-3.25E-05
19,0,1.487780408,-0.289021147,-0.9,-1,3.61E-05,-3.61E-05
19,0,1.487780408,-0.289021147,-1,-0.1,1.55E-05,-1.55E-06
19,0,1.487780408,-0.289021147,-1,-0.2,2.94E-05,-5.88E-06
19,0,1.487780408,-0.289021147,-1,-0.3,3.88E-05,-1.17E-05
19,0,1.487780408,-0.289021147,-1,-0.4,4.14E-05,-1.66E-05
19,0,1.487780408,-0.289021147,-1,-0.5,4.15E-05,-2.08E-05
19,0,1.487780408,-0.289021147,-1,-0.6,4.15E-05,-2.49E-05
19,0,1.487780408,-0.289021147,-1,-0.7,4.15E-05,-2.91E-05
19,0,1.487780408,-0.289021147,-1,-0.8,4.15E-05,-3.32E-05
19,0,1.487780408,-0.289021147,-1,-0.9,4.15E-05,-3.74E-05
19,0,1.487780408,-0.289021147,-1,-1,4.15E-05,-4.15E-05
18,0,1.409476176,-0.305077877,0,-0.1,2.28E-11,-2.28E-12
18,0,1.409476176,-0.305077877,0,-0.2,2.33E-11,-4.65E-12
18,0,1.409476176,-0.305077877,0,-0.3,2.33E-11,-6.98E-12
18,0,1.409476176,-0.305077877,0,-0.4,2.33E-11,-9.31E-12
18,0,1.409476176,-0.305077877,0,-0.5,2.33E-11,-1.16E-11
18,0,1.409476176,-0.305077877,0,-0.6,2.33E-11,-1.40E-11
18,0,1.409476176,-0.305077877,0,-0.7,2.33E-11,-1.63E-11
18,0,1.409476176,-0.305077877,0,-0.8,2.33E-11,-1.86E-11
18,0,1.409476176,-0.305077877,0,-0.9,2.33E-11,-2.09E-11
18,0,1.409476176,-0.305077877,0,-1,2.33E-11,-2.33E-11
18,0,1.409476176,-0.305077877,-0.1,-0.1,8.34E-10,-8.34E-11
18,0,1.409476176,-0.305077877,-0.1,-0.2,8.51E-10,-1.70E-10
18,0,1.409476176,-0.305077877,-0.1,-0.3,8.52E-10,-2.56E-10
18,0,1.409476176,-0.305077877,-0.1,-0.4,8.52E-10,-3.41E-10
18,0,1.409476176,-0.305077877,-0.1,-0.5,8.52E-10,-4.26E-10
18,0,1.409476176,-0.305077877,-0.1,-0.6,8.52E-10,-5.11E-10
18,0,1.409476176,-0.305077877,-0.1,-0.7,8.52E-10,-5.96E-10
18,0,1.409476176,-0.305077877,-0.1,-0.8,8.52E-10,-6.81E-10
18,0,1.409476176,-0.305077877,-0.1,-0.9,8.52E-10,-7.67E-10
18,0,1.409476176,-0.305077877,-0.1,-1,8.52E-10,-8.52E-10
18,0,1.409476176,-0.305077877,-0.2,-0.1,2.94E-08,-2.94E-09
18,0,1.409476176,-0.305077877,-0.2,-0.2,3.01E-08,-6.01E-09
18,0,1.409476176,-0.305077877,-0.2,-0.3,3.01E-08,-9.02E-09
18,0,1.409476176,-0.305077877,-0.2,-0.4,3.01E-08,-1.20E-08
18,0,1.409476176,-0.305077877,-0.2,-0.5,3.01E-08,-1.50E-08
18,0,1.409476176,-0.305077877,-0.2,-0.6,3.01E-08,-1.80E-08
18,0,1.409476176,-0.305077877,-0.2,-0.7,3.01E-08,-2.11E-08
18,0,1.409476176,-0.305077877,-0.2,-0.8,3.01E-08,-2.41E-08
18,0,1.409476176,-0.305077877,-0.2,-0.9,3.01E-08,-2.71E-08
18,0,1.409476176,-0.305077877,-0.2,-1,3.01E-08,-3.01E-08
18,0,1.409476176,-0.305077877,-0.3,-0.1,5.60E-07,-5.60E-08
18,0,1.409476176,-0.305077877,-0.3,-0.2,5.77E-07,-1.15E-07
18,0,1.409476176,-0.305077877,-0.3,-0.3,5.77E-07,-1.73E-07
18,0,1.409476176,-0.305077877,-0.3,-0.4,5.77E-07,-2.31E-07
18,0,1.409476176,-0.305077877,-0.3,-0.5,5.77E-07,-2.89E-07
18,0,1.409476176,-0.305077877,-0.3,-0.6,5.77E-07,-3.46E-07
18,0,1.409476176,-0.305077877,-0.3,-0.7,5.77E-07,-4.04E-07
18,0,1.409476176,-0.305077877,-0.3,-0.8,5.77E-07,-4.62E-07
18,0,1.409476176,-0.305077877,-0.3,-0.9,5.77E-07,-5.20E-07
18,0,1.409476176,-0.305077877,-0.3,-1,5.77E-07,-5.77E-07
18,0,1.409476176,-0.305077877,-0.4,-0.1,2.64E-06,-2.64E-07
18,0,1.409476176,-0.305077877,-0.4,-0.2,2.80E-06,-5.59E-07
18,0,1.409476176,-0.305077877,-0.4,-0.3,2.80E-06,-8.40E-07
18,0,1.409476176,-0.305077877,-0.4,-0.4,2.80E-06,-1.12E-06
18,0,1.409476176,-0.305077877,-0.4,-0.5,2.80E-06,-1.40E-06
18,0,1.409476176,-0.305077877,-0.4,-0.6,2.80E-06,-1.68E-06
18,0,1.409476176,-0.305077877,-0.4,-0.7,2.80E-06,-1.96E-06
18,0,1.409476176,-0.305077877,-0.4,-0.8,2.80E-06,-2.24E-06
18,0,1.409476176,-0.305077877,-0.4,-0.9,2.80E-06,-2.52E-06
18,0,1.409476176,-0.305077877,-0.4,-1,2.80E-06,-2.80E-06
18,0,1.409476176,-0.305077877,-0.5,-0.1,6.16E-06,-6.16E-07
18,0,1.409476176,-0.305077877,-0.5,-0.2,6.94E-06,-1.39E-06
18,0,1.409476176,-0.305077877,-0.5,-0.3,6.96E-06,-2.09E-06
18,0,1.409476176,-0.305077877,-0.5,-0.4,6.96E-06,-2.78E-06
18,0,1.409476176,-0.305077877,-0.5,-0.5,6.96E-06,-3.48E-06
18,0,1.409476176,-0.305077877,-0.5,-0.6,6.96E-06,-4.17E-06
18,0,1.409476176,-0.305077877,-0.5,-0.7,6.96E-06,-4.87E-06
18,0,1.409476176,-0.305077877,-0.5,-0.8,6.96E-06,-5.57E-06
18,0,1.409476176,-0.305077877,-0.5,-0.9,6.96E-06,-6.26E-06
18,0,1.409476176,-0.305077877,-0.5,-1,6.96E-06,-6.96E-06
18,0,1.409476176,-0.305077877,-0.6,-0.1,1.00E-05,-1.00E-06
18,0,1.409476176,-0.305077877,-0.6,-0.2,1.31E-05,-2.62E-06
18,0,1.409476176,-0.305077877,-0.6,-0.3,1.33E-05,-3.98E-06
18,0,1.409476176,-0.305077877,-0.6,-0.4,1.33E-05,-5.30E-06
18,0,1.409476176,-0.305077877,-0.6,-0.5,1.33E-05,-6.63E-06
18,0,1.409476176,-0.305077877,-0.6,-0.6,1.33E-05,-7.95E-06
18,0,1.409476176,-0.305077877,-0.6,-0.7,1.33E-05,-9.28E-06
18,0,1.409476176,-0.305077877,-0.6,-0.8,1.33E-05,-1.06E-05
18,0,1.409476176,-0.305077877,-0.6,-0.9,1.33E-05,-1.19E-05
18,0,1.409476176,-0.305077877,-0.6,-1,1.33E-05,-1.33E-05
18,0,1.409476176,-0.305077877,-0.7,-0.1,1.29E-05,-1.29E-06
18,0,1.409476176,-0.305077877,-0.7,-0.2,1.97E-05,-3.94E-06
18,0,1.409476176,-0.305077877,-0.7,-0.3,2.05E-05,-6.15E-06
18,0,1.409476176,-0.305077877,-0.7,-0.4,2.05E-05,-8.21E-06
18,0,1.409476176,-0.305077877,-0.7,-0.5,2.05E-05,-1.03E-05
18,0,1.409476176,-0.305077877,-0.7,-0.6,2.05E-05,-1.23E-05
18,0,1.409476176,-0.305077877,-0.7,-0.7,2.05E-05,-1.44E-05
18,0,1.409476176,-0.305077877,-0.7,-0.8,2.05E-05,-1.64E-05
18,0,1.409476176,-0.305077877,-0.7,-0.9,2.05E-05,-1.85E-05
18,0,1.409476176,-0.305077877,-0.7,-1,2.05E-05,-2.05E-05
18,0,1.409476176,-0.305077877,-0.8,-0.1,1.43E-05,-1.43E-06
18,0,1.409476176,-0.305077877,-0.8,-0.2,2.46E-05,-4.91E-06
18,0,1.409476176,-0.305077877,-0.8,-0.3,2.79E-05,-8.37E-06
